Name,Href,Birthday,Debut,Position,Team
Dan Altavilla,/players/a/altavda01.shtml,"['September 8', '1992']","['\n    August 27, 2016\n    ']",['\n    Pitcher\n  \n'],['Kansas City Royals']
Jose Altuve,/players/a/altuvjo01.shtml,"['May 6', '1990']","['\n    July 20, 2011\n    ']",['\n    Second Baseman\n  \n'],['Houston Astros']
Jake Alu,/players/a/aluja01.shtml,"['April 6', '1997']","['\n    May 9, 2023\n    ']","['\n    Leftfielder, Second Baseman and Third Baseman\n  \n']",['Washington Nationals']
José Alvarado,/players/a/alvarjo03.shtml,"['May 21', '1995']","['\n    May 3, 2017\n    ']",['\n    Pitcher\n  \n'],['Philadelphia Phillies']
Eddy Alvarez,/players/a/alvared01.shtml,"['January 30', '1990']","['\n    August 5, 2020\n    ']","['\n    Third Baseman, Second Baseman and Rightfielder\n  \n']",['Boston Red Sox']
Francisco Alvarez,/players/a/alvarfr01.shtml,"['November 19', '2001']","['\n    September 30, 2022\n    ']",['\n    Catcher\n  \n'],['New York Mets']
Yordan Alvarez,/players/a/alvaryo01.shtml,"['June 27', '1997']","['\n    June 9, 2019\n    ']",['\n    Designated Hitter and Leftfielder\n  \n'],['Houston Astros']
Adbert Alzolay,/players/a/alzolad01.shtml,"['March 1', '1995']","['\n    June 20, 2019\n    ']",['\n    Pitcher\n  \n'],['Chicago Cubs']
Jacob Amaya,/players/a/amayaja01.shtml,"['September 3', '1998']","['\n    June 18, 2023\n    ']",['\n    Shortstop and Second Baseman\n  \n'],['Houston Astros']
Miguel Amaya,/players/a/amayami01.shtml,"['March 9', '1999']","['\n    May 4, 2023\n    ']",['\n    Catcher\n  \n'],['Chicago Cubs']
Brian Anderson,/players/a/anderbr06.shtml,"['May 19', '1993']","['\n    September 1, 2017\n    ']",['\n    Third Baseman and Rightfielder\n  \n'],['Seattle Mariners']
Chase Anderson,/players/a/anderch01.shtml,"['November 30', '1987']","['\n    May 11, 2014\n    ']",['\n    Pitcher\n  \n'],['Boston Red Sox']
Drew Anderson,/players/a/anderdr02.shtml,"['March 22', '1994']","['\n    August 1, 2017\n    ']",['\n    Pitcher\n  \n'],['Detroit Tigers']
Grant Anderson,/players/a/andergr01.shtml,"['June 21', '1997']","['\n    May 30, 2023\n    ']",['\n    Pitcher\n  \n'],['Texas Rangers']
Ian Anderson,/players/a/anderia01.shtml,"['May 2', '1998']","['\n    August 26, 2020\n    ']",['\n    Pitcher\n  \n'],['Atlanta Braves']
Justin Anderson,/players/a/anderju01.shtml,"['September 28', '1992']","['\n    April 23, 2018\n    ']",['\n    Pitcher\n  \n'],['Chicago White Sox']
Nick Anderson,/players/a/anderni01.shtml,"['July 5', '1990']","['\n    March 28, 2019\n    ']",['\n    Pitcher\n  \n'],['Kansas City Royals']
Tim Anderson,/players/a/anderti01.shtml,"['June 23', '1993']","['\n    June 10, 2016\n    ']",['\n    Shortstop\n  \n'],['Miami Marlins']
Tyler Anderson,/players/a/anderty01.shtml,"['December 30', '1989']","['\n    June 12, 2016\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Angels']
Clayton Andrews,/players/a/andrecl02.shtml,"['January 4', '1997']","['\n    July 1, 2023\n    ']",['\n    Pitcher\n  \n'],['New York Yankees']
Matt Andriese,/players/a/andrima01.shtml,"['August 28', '1989']","['\n    April 10, 2015\n    ']",['\n    Pitcher\n  \n'],['Miami Marlins']
Miguel Andujar,/players/a/andujmi01.shtml,"['March 2', '1995']","['\n    June 28, 2017\n    ']",['\n    Third Baseman and Leftfielder\n  \n'],['Oakland Athletics']
Tejay Antone,/players/a/antonte01.shtml,"['December 5', '1993']","['\n    July 27, 2020\n    ']",['\n    Pitcher\n  \n'],['Cincinnati Reds']
Jonathan Aranda,/players/a/arandjo01.shtml,"['May 23', '1998']","['\n    June 24, 2022\n    ']","['\n    First Baseman, Pinch Hitter and Second Baseman\n  \n']",['Tampa Bay Rays']
Jonathan Araúz,/players/a/arauzjo01.shtml,"['August 3', '1998']","['\n    July 24, 2020\n    ']","['\n    Second Baseman, Third Baseman and Shortstop\n  \n']",['Los Angeles Dodgers']
Orlando Arcia,/players/a/arciaor01.shtml,"['August 4', '1994']","['\n    August 2, 2016\n    ']",['\n    Shortstop and Second Baseman\n  \n'],['Atlanta Braves']
Nolan Arenado,/players/a/arenano01.shtml,"['April 16', '1991']","['\n    April 28, 2013\n    ']",['\n    Third Baseman\n  \n'],['St. Louis Cardinals']
