"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","b_lob","b_total_bases","r_total_caught_stealing","r_total_stolen_base","b_ab_scoring","b_ball","b_called_strike","b_catcher_interf","b_foul","b_foul_tip","b_game","b_gnd_into_dp","b_gnd_into_tp","b_gnd_rule_double","b_hit_by_pitch","b_hit_ground","b_hit_fly","b_hit_into_play","b_hit_line_drive","b_hit_popup","b_out_fly","b_out_ground","b_out_line_drive","b_out_popup","b_intent_ball","b_intent_walk","b_interference","b_pinch_hit","b_pinch_run","b_pitchout","b_played_dh","b_sac_bunt","b_sac_fly","b_swinging_strike","r_caught_stealing_2b","r_caught_stealing_3b","r_caught_stealing_home","r_defensive_indiff","r_interference","r_pickoff_1b","r_pickoff_2b","r_pickoff_3b","r_run","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","b_total_ball","b_total_sacrifices","b_total_strike","b_total_swinging_strike","b_total_pitches","r_stolen_base_pct","r_total_pickoff","b_reached_on_error","b_walkoff","b_reached_on_int","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_swing_miss","out_zone_swing","out_zone_percent","out_zone","meatball_swing_percent","meatball_percent","pitch_count_offspeed","pitch_count_fastball","pitch_count_breaking","pitch_count","iz_contact_percent","in_zone_swing_miss","in_zone_swing","in_zone_percent","in_zone","edge_percent","edge","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","batted_ball","f_strike_percent","groundballs_percent","groundballs","flyballs_percent","flyballs","linedrives_percent","linedrives","popups_percent","popups","pop_2b_sba_count","pop_2b_sba","pop_2b_sb","pop_2b_cs","pop_3b_sba_count","pop_3b_sba","pop_3b_sb","pop_3b_cs","exchange_2b_3b_sba","maxeff_arm_2b_3b_sba","n_outs_above_average","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent","rel_league_reaction_distance","rel_league_burst_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n_bolts","hp_to_1b","sprint_speed"
"Cronenworth, Jake","630105","2024","30","56","64","17","10","4","1","2","11","4",17.2,6.3,".304",".518",".365","0.883","0.214",".341","13","17","29","1","0","13","82","51","1","51","0","15","1","0","0","2","5","3","46","9","0","6","13","6","3","0","0","0","2","0","0","0","0","1","15","1","0","0","0","0","0","0","0","7","0","0","0","88","1","164","15","252",,"0","0","0","1",".351",".615",".385",".435",".412",".264",".433",".504",".370",".435","90.6","13.7",41.3,"8",17.4,4.3,26.1,17.4,26.1,6.5,45.7,"101.780664348","95.398524889",62.7,6,24.6,37.9,62.1,"11","29",46.8,"118",73.7,7.5,"30","167","42","252",94,"5","84",53.2,"134",46.8,"118",14.2,44.8,39.1,37,23.9,"46",64.1,39.1,"18",19.6,"9",34.8,"16",6.5,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27.4"
"Tucker, Kyle","663656","2024","27","58","65","14","10","2","0","2","12","6",18.5,9.2,".241",".379",".313","0.692","0.138",".273","7","31","22","0","1","17","78","39","1","44","1","14","1","0","0","0","3","5","46","6","0","13","8","10","1","0","0","0","0","0","0","1","0","0","19","0","0","0","0","0","0","0","0","6","0","1","0","85","0","150","19","235",,"0","0","0","1",".341",".537",".312",".407",".403",".196",".342",".474",".304",".430","91.3","20.3",52.2,"5",10.9,6.5,43.5,23.9,15.2,0,47.8,"99.598526957","94.637364783",68.5,11.2,21,50,50,"11","22",44.7,"105",77.8,7.7,"27","129","71","235",88.8,"10","89",55.3,"130",36.2,"85",18.9,47.2,41.3,17.4,41.3,"46",69.2,23.9,"11",39.1,"18",34.8,"16",2.2,"1",,,,,,,,,,,"1","0","1","0.0","0","1","0.0","1","1","100.0","1","1","100.0","4","4","100.0",,,,,,,,"25.4"
"Lindor, Francisco","596019","2024","30","51","59","5","3","1","0","1","6","5",10.2,8.5,".098",".176",".203","0.379","0.078",".089","2","31","9","1","0","10","74","34","0","40","1","12","2","0","0","2","2","1","46","2","0","13","17","5","6","0","0","0","0","0","0","0","0","1","14","1","0","0","1","0","0","0","0","4","0","0","0","82","1","138","14","220",,"0","1","0","0",".254",".385",".188",".322",".340",".130",".132",".304",".109",".283","88.1","15.3",23.9,"2",4.3,2.2,23.9,37,23.9,6.5,40,"98.064182609","93.338812444",69.6,10,21.2,42.9,57.1,"9","21",46.3,"99",75,5.6,"28","119","53","220",88.8,"8","80",53.7,"115",43.5,"93",16.3,47.3,45.7,39.1,15.2,"46",52.5,41.3,"19",30.4,"14",15.2,"7",13,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27.5"
"Arenado, Nolan","571448","2024","33","53","56","13","10","3","0","0","8","1",14.3,1.8,".245",".302",".268","0.570","0.057",".283","5","24","16","1","0","13","59","38","0","28","4","13","2","0","0","1","4","2","46","7","0","10","19","3","1","0","0","0","0","0","0","0","0","1","14","1","0","0","0","0","0","0","0","3","0","0","0","68","1","132","14","200",,"0","0","0","0",".237",".286",".256",".242",".262",".049",".280",".264",".283",".275","84.1","10.4",30.4,"0",0,2.2,30.4,26.1,34.8,6.5,28.3,"95.920463913","91.960231957",65.3,14.5,30.5,34.4,65.6,"11","32",52.5,"105",65,10,"23","116","44","200",85.5,"9","62",47.5,"95",40,"80",21.3,47,54.3,23.9,21.7,"46",55.4,50,"23",26.1,"12",21.7,"10",2.2,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.82","24.9"
"Alvarez, Yordan","670541","2024","27","55","61","18","11","3","0","4","8","6",13.1,9.8,".327",".600",".393","0.993","0.273",".326","12","20","33","0","0","14","78","36","0","30","2","14","0","0","0","0","5","4","47","9","0","15","9","4","1","0","0","0","4","0","0","9","0","0","17","0","0","0","0","0","0","0","0","9","0","0","0","85","0","132","17","217",,"0","1","0","0",".376",".825",".432",".521",".437",".449",".470",".586",".383",".440","94.3","17.6",40.4,"8",17,10.6,23.4,25.5,23.4,0,48.9,"105.00723125","97.402323191",64.8,16.2,25,28.6,71.4,"8","28",51.6,"112",75,5.5,"19","136","56","217",83.8,"11","68",48.4,"105",43.3,"94",19.8,44.2,34,40.4,25.5,"47",59,29.8,"14",40.4,"19",27.7,"13",2.1,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24.2"
"Peña, Jeremy","665161","2024","26","54","56","17","14","1","0","2","5","1",8.9,1.8,".315",".444",".339","0.783","0.129",".319","7","33","24","1","2","17","48","24","0","35","2","14","4","0","0","1","6","2","49","9","0","7","17","4","4","0","0","0","0","0","0","0","0","0","20","1","0","0","1","0","0","0","0","6","2","0","0","52","0","130","20","182",,"0","0","0","0",".337",".451",".349",".355",".360",".115",".369",".376",".347",".371","86.7","8.9",36.7,"2",4.1,4.1,38.8,18.4,28.6,6.1,30.6,"98.0620516","93.176992857",74.2,4.5,43,47.5,52.5,"19","40",51.1,"93",90,5.5,"24","91","54","182",95.5,"3","66",48.9,"89",49.5,"90",20.8,58.2,40.8,28.6,30.6,"49",62.5,46.9,"23",18.4,"9",26.5,"13",8.2,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11","4.23","29.8"
"Tatis Jr., Fernando","665487","2024","25","57","63","15","10","1","0","4","8","5",12.7,7.9,".263",".491",".333","0.824","0.228",".244","9","19","28","0","2","11","64","20","0","46","2","15","1","0","1","1","2","3","49","10","0","7","21","2","4","0","0","0","1","0","0","0","0","0","25","0","0","0","0","0","0","0","0","10","2","0","0","72","0","142","25","214",,"0","0","0","0",".306",".537",".364",".390",".374",".230",".380",".414",".306",".358","90.3","8.8",30.6,"5",10.2,8.2,20.4,20.4,32.7,6.1,44.9,"102.720430833","95.410427292",80.2,11.7,38.1,40,60,"18","45",55.1,"118",87.5,7.5,"43","101","53","214",88.3,"9","77",44.9,"96",45.8,"98",22.1,57,40.8,36.7,22.4,"49",60.3,46.9,"23",20.4,"10",24.5,"12",8.2,"4",,,,,,,,,,,"0","0","2","0.0","1","1","100.0","0","1","0.0","3","3","100.0","1","1","100.0","1.2","1.8","0.5","3.5","38","5","4.28","29.0"
"Kwan, Steven","680757","2024","26","57","58","22","18","2","0","2","8","1",13.8,1.7,".386",".526",".397","0.923","0.140",".426","5","11","30","0","1","10","59","50","0","34","0","12","0","0","0","0","5","3","49","14","0","8","9","6","4","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","13","1","0","0","61","0","142","8","203",,"0","0","0","0",".340",".462",".408",".353",".351",".123",".469",".404",".449",".396","85.5","15.3",44.9,"2",4.1,0,36.7,26.5,22.4,8.2,18.4,"94.123017391","91.276459778",59.2,2.8,25.3,33.3,66.7,"7","21",40.9,"83",72.2,8.9,"29","123","36","203",97.2,"2","71",59.1,"120",43.3,"88",9.8,45.3,26.5,32.7,40.8,"49",63.8,28.6,"14",22.4,"11",40.8,"20",8.2,"4",,,,,,,,,,,"0","0","3","0.0","0","0",,"0","0",,"0","0",,"1","1","100.0",,,,,,,,"27.3"
"Ohtani, Shohei","660271","2024","29","63","69","21","9","8","1","3","14","5",20.3,7.2,".333",".635",".377","1.012","0.302",".383","8","32","40","0","1","13","98","35","0","50","6","15","1","0","1","0","5","3","50","13","0","10","12","5","2","0","0","0","0","0","0","15","0","1","21","0","0","0","0","0","0","0","0","12","1","0","0","102","1","164","21","266",,"0","0","0","0",".357",".671",".431",".456",".404",".314",".525",".558",".420",".457","94.2","13.9",46,"10",20,14,22,20,22,2,54,"106.414906","97.8749152",71.4,20,25.6,29.4,70.6,"10","34",50,"133",87.5,6,"44","142","67","266",80,"19","95",50,"133",42.5,"113",22.5,48.5,52,24,24,"50",53.6,34,"17",26,"13",36,"18",4,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27.8"
"Ramírez, José","608070","2024","31","56","57","15","10","2","1","2","6","1",10.5,1.8,".268",".446",".281","0.727","0.178",".271","10","24","25","0","0","18","67","29","0","47","2","12","2","0","0","0","4","3","50","8","0","15","13","3","4","0","0","0","0","0","1","2","0","0","15","0","0","0","0","0","0","0","0","12","0","0","0","72","0","144","15","216",,"0","1","0","0",".227",".365",".317",".260",".241",".138",".347",".282",".300",".254","87.1","16.1",28,"4",8,2,14,40,30,6,30,"97.8834752","93.0144174",71.4,10.7,36,25,75,"10","40",51.4,"111",68.8,7.4,"42","87","58","216",89.3,"8","75",48.6,"105",43.5,"94",15.7,53.2,32,38,30,"50",52.6,34,"17",36,"18",22,"11",8,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.33","27.8"
"Bogaerts, Xander","593428","2024","31","59","64","14","11","2","0","1","7","5",10.9,7.8,".237",".322",".297","0.619","0.085",".255","6","17","19","0","1","11","94","53","0","35","1","15","0","0","0","0","3","1","52","10","0","7","23","3","5","0","0","0","1","0","0","0","0","0","11","0","0","0","0","0","0","0","0","11","1","0","0","98","0","153","11","251",,"0","1","0","0",".294",".388",".283",".328",".349",".094",".280",".336",".269",".334","83.9","13.3",30.8,"2",3.8,1.9,28.8,23.1,34.6,7.7,25,"96.217171538","92.116138846",57.8,9,19,27.3,72.7,"6","22",46.2,"116",66.7,7.2,"37","142","55","251",91,"7","78",53.8,"135",47,"118",13,39.8,42.3,51.9,5.8,"52",68.8,50,"26",15.4,"8",25,"13",9.6,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.45","26.8"
