"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","b_lob","b_total_bases","r_total_caught_stealing","r_total_stolen_base","b_ab_scoring","b_ball","b_called_strike","b_catcher_interf","b_foul","b_foul_tip","b_game","b_gnd_into_dp","b_gnd_into_tp","b_gnd_rule_double","b_hit_by_pitch","b_hit_ground","b_hit_fly","b_hit_into_play","b_hit_line_drive","b_hit_popup","b_out_fly","b_out_ground","b_out_line_drive","b_out_popup","b_intent_ball","b_intent_walk","b_interference","b_pinch_hit","b_pinch_run","b_pitchout","b_played_dh","b_sac_bunt","b_sac_fly","b_swinging_strike","r_caught_stealing_2b","r_caught_stealing_3b","r_caught_stealing_home","r_defensive_indiff","r_interference","r_pickoff_1b","r_pickoff_2b","r_pickoff_3b","r_run","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","b_total_ball","b_total_sacrifices","b_total_strike","b_total_swinging_strike","b_total_pitches","r_stolen_base_pct","r_total_pickoff","b_reached_on_error","b_walkoff","b_reached_on_int","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_swing_miss","out_zone_swing","out_zone_percent","out_zone","meatball_swing_percent","meatball_percent","pitch_count_offspeed","pitch_count_fastball","pitch_count_breaking","pitch_count","iz_contact_percent","in_zone_swing_miss","in_zone_swing","in_zone_percent","in_zone","edge_percent","edge","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","batted_ball","f_strike_percent","groundballs_percent","groundballs","flyballs_percent","flyballs","linedrives_percent","linedrives","popups_percent","popups","pop_2b_sba_count","pop_2b_sba","pop_2b_sb","pop_2b_cs","pop_3b_sba_count","pop_3b_sba","pop_3b_sb","pop_3b_cs","exchange_2b_3b_sba","maxeff_arm_2b_3b_sba","n_outs_above_average","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent","rel_league_reaction_distance","rel_league_burst_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n_bolts","hp_to_1b","sprint_speed"
"Marte, Ketel","606466","2024","30","51","59","15","9","3","0","3","9","6",15.3,10.2,".294",".529",".356","0.885","0.235",".293","7","18","27","0","1","14","66","29","0","47","2","13","0","0","0","0","7","3","44","5","0","8","19","1","1","0","1","0","0","0","0","4","0","2","18","0","0","0","0","0","0","0","0","12","1","0","0","69","2","141","18","210",,"0","3","0","0",".309",".549",".375",".402",".385",".240",".414",".450",".341",".379","93.3","3.2",29.5,"4",9.1,9.1,29.5,13.6,36.4,2.3,54.5,"104.095798636","97.207332727",73.9,14.6,30.3,30,70,"9","30",47.1,"99",81.3,7.6,"40","107","55","210",85.4,"12","82",52.9,"111",45.7,"96",18.8,53.3,45.5,25,29.5,"44",60.3,59.1,"26",25,"11",13.6,"6",2.3,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26.7"
"Smith, Will","669257","2024","29","51","55","21","16","4","0","1","8","3",14.5,5.5,".412",".549",".436","0.985","0.137",".465","12","19","28","0","0","14","71","31","0","44","4","13","1","0","0","0","8","6","44","7","0","6","9","4","4","0","0","0","0","0","0","0","0","1","13","0","0","0","0","0","0","0","0","6","0","0","0","73","1","136","13","209",,"0","0","0","0",".316",".469",".432",".351",".348",".153",".492",".391",".477",".367","88.7","14.8",40.9,"2",4.5,4.5,34.1,29.5,27.3,0,34.1,"99.298696364","93.841658636",68.3,14.1,32.4,20.6,79.4,"7","34",50.2,"105",93.8,7.7,"20","137","42","209",85.9,"10","71",49.8,"104",47.8,"100",16.2,50.2,34.1,38.6,27.3,"44",56.4,38.6,"17",27.3,"12",25,"11",9.1,"4","2","1.87","1.89","1.86","0",,,,"0.6","81.6",,,,,,,,,,,,,,,,,,,,,,,,"27.2"
"Campusano, Luis","669134","2024","25","47","48","15","11","3","0","1","3","1",6.3,2.1,".319",".447",".333","0.780","0.128",".326","10","20","21","0","0","18","43","19","0","23","1","13","2","0","0","0","4","3","44","8","0","6","20","2","1","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","5","0","0","0","46","0","103","16","149",,"0","0","0","0",".315",".406",".345",".321",".329",".091",".360",".334",".341",".337","84.9","5.2",27.3,"2",4.5,0,34.1,13.6,43.2,4.5,29.5,"97.575169091","92.790672955",74.1,15,35.3,33.3,66.7,"8","24",45.6,"68",81.3,10.7,"15","78","41","149",85,"9","60",54.4,"81",43.6,"65",20.2,56.4,29.5,54.5,15.9,"44",62.5,54.5,"24",20.5,"9",22.7,"10",2.3,"1","0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.95","25.0"
"Machado, Manny","592518","2024","31","59","65","14","9","3","0","2","15","6",23.1,9.2,".237",".390",".308","0.698","0.153",".286","7","28","23","0","0","15","80","34","0","43","5","15","4","0","0","0","7","2","44","5","0","7","19","2","2","0","0","0","0","0","0","15","0","0","25","0","0","0","0","0","0","0","0","11","0","0","0","88","0","151","25","239",,"0","0","0","0",".214",".370",".313",".290",".286",".157",".366",".331",".318",".287","90","5.5",25,"5",11.4,2.3,15.9,18.2,47.7,4.5,45.5,"101.988029545","95.302679545",69.6,17.5,29.8,43.2,56.8,"16","37",51.9,"124",78.6,5.9,"35","137","54","239",82.5,"14","80",48.1,"115",42.7,"102",25.6,49,40.9,36.4,22.7,"44",67.7,59.1,"26",20.5,"9",15.9,"7",4.5,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24.9"
"Gurriel Jr., Lourdes","666971","2024","30","52","57","16","10","3","0","3","8","5",14,8.8,".308",".538",".368","0.906","0.230",".317","14","23","28","0","2","16","65","35","0","45","0","12","1","0","0","0","6","3","44","7","0","8","11","5","4","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","10","2","0","0","73","0","146","21","219",,"0","0","0","0",".298",".512",".397",".375",".359",".214",".434",".405",".364",".352","91.1","16.3",34.1,"4",9.1,9.1,20.5,29.5,29.5,2.3,52.3,"102.530646364","95.856011818",70.4,12.3,28.8,40,60,"12","30",47.5,"104",73.7,8.7,"31","111","71","219",87.7,"10","81",52.5,"115",37,"81",19.8,50.7,40.9,34.1,25,"44",70.2,38.6,"17",25,"11",27.3,"12",9.1,"4",,,,,,,,,,,"2","0","1","0.0","1","1","100.0","1","1","100.0","2","2","100.0","5","5","100.0","1.7","1.6","0.6","3.9","38.6",,"4.66","27.0"
"Betts, Mookie","605141","2024","31","55","71","20","11","3","1","5","10","16",14.1,22.5,".364",".727",".507","1.234","0.363",".375","11","16","40","0","2","7","135","71","0","33","1","15","1","0","0","0","4","7","45","9","0","9","6","7","3","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","19","2","0","0","140","0","162","10","302",,"0","0","0","0",".304",".561",".523",".443",".461",".256",".573",".447",".444",".372","93.8","20.5",53.3,"5",11.1,13.3,31.1,26.7,17.8,0,53.3,"100.502757826","95.277924222",48.8,4.9,16.9,33.3,66.7,"10","30",58.6,"177",75,5.3,"37","177","73","302",95.1,"3","61",41.4,"125",41.4,"125",14.3,30.1,44.4,35.6,20,"45",50.7,22.2,"10",35.6,"16",35.6,"16",6.7,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27.3"
"Semien, Marcus","543760","2024","33","51","60","15","11","3","0","1","6","9",10,15,".294",".412",".400","0.812","0.118",".318","10","18","21","0","1","14","61","29","0","23","0","13","2","0","0","0","2","2","45","11","0","7","14","5","4","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","10","1","0","0","71","0","113","15","184",,"0","0","0","0",".347",".513",".370",".420",".445",".166",".352",".418",".333",".394","87.6","15.4",42.2,"3",6.7,2.2,37.8,24.4,26.7,2.2,33.3,"97.228003043","92.794739556",72.9,9.7,22.2,45.5,54.5,"10","22",53.8,"99",92.3,7.1,"31","97","44","184",90.3,"6","62",46.2,"85",39.7,"73",19,45.7,48.9,26.7,24.4,"45",68.3,35.6,"16",20,"9",35.6,"16",8.9,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.2"
"Lee, Jung Hoo","808982","2024","25","47","54","12","10","1","0","1","4","5",7.4,9.3,".255",".340",".315","0.655","0.085",".250","4","13","16","1","0","6","66","52","0","22","1","12","0","0","0","0","5","1","45","6","0","6","21","3","3","0","0","0","0","0","0","0","0","2","4","1","0","0","0","0","1","0","0","4","0","0","0","74","2","125","4","199",,"1","1","0","0",".275",".394",".295",".316",".335",".118",".275",".300",".267",".290","92.3","3.4",22.2,"2",4.4,2.2,26.7,17.8,46.7,0,48.9,"100.667531364","95.132080909",51.8,3.4,16.5,21.4,78.6,"3","14",42.7,"85",38.1,10.6,"17","119","46","199",94.9,"2","59",57.3,"114",39.7,"79",6.8,36.7,40,40,20,"45",57.4,57.8,"26",15.6,"7",20,"9",6.7,"3",,,,,,,,,,,"-1","0","1","0.0","0","0",,"0","1","0.0","1","1","100.0","4","4","100.0",,,,,,,"4.25","28.1"
"Altuve, Jose","514888","2024","34","54","62","20","11","6","0","3","9","8",14.5,12.9,".370",".648",".452","1.100","0.278",".405","3","19","35","1","0","9","96","47","0","38","0","14","1","0","0","0","7","4","45","9","0","9","9","5","2","0","0","0","1","0","0","1","0","0","17","0","0","1","0","0","1","0","0","10","0","0","0","98","0","147","17","245",,"1","0","0","0",".295",".499",".476",".384",".386",".205",".530",".404",".444",".354","90.1","21.9",46.7,"5",11.1,4.4,35.6,28.9,15.6,4.4,35.6,"98.771214545","93.751824318",59.5,9.1,25.4,32.4,67.6,"11","34",54.7,"134",71.4,8.6,"26","133","78","245",90.9,"6","66",45.3,"111",38.4,"94",17,40.8,57.8,31.1,11.1,"45",56.5,35.6,"16",28.9,"13",31.1,"14",4.4,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,"26.9"
"Bregman, Alex","608324","2024","30","54","59","13","8","5","0","0","9","5",15.3,8.5,".241",".333",".305","0.638","0.092",".289","2","29","18","0","1","15","70","44","0","31","1","14","1","0","0","0","4","2","45","7","0","7","16","1","8","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","2","1","0","0","75","0","136","13","211",,"0","0","0","0",".232",".339",".291",".285",".297",".107",".303",".295",".289",".278","88.3","21.3",28.9,"2",4.4,4.4,24.4,33.3,31.1,2.2,40,"97.876677826","93.063922667",61.5,10.9,26.2,32.1,67.9,"9","28",50.7,"107",77.8,4.3,"15","108","74","211",89.1,"7","64",49.3,"104",47.4,"100",17.4,43.6,33.3,35.6,31.1,"45",61,44.4,"20",20,"9",17.8,"8",17.8,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26.4"
